food,kcal,protein,carbs,fat,serving_size
McDonald’s - Iced Nonfat Caramel Mocha (Medium),240.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Nonfat Caramel Mocha (Small),200.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Caramel Mocha (Large),280.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Caramel Mocha (Medium),240.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Caramel Mocha (Small),200.0,0.0,0.0,0.0,1 unidade
McDonald’s - Cappuccino (Small),120.0,0.0,0.0,0.0,1 unidade
McDonald’s - Cappuccino (Medium),140.0,0.0,0.0,0.0,1 unidade
McDonald’s - Cappuccino (Large),180.0,0.0,0.0,0.0,1 unidade
McDonald’s - Latte (Small),150.0,0.0,0.0,0.0,1 unidade
McDonald’s - Latte (Medium),180.0,0.0,0.0,0.0,1 unidade
McDonald’s - Latte (Large),210.0,0.0,0.0,0.0,1 unidade
McDonald’s - Caramel Cappuccino (Small),200.0,0.0,0.0,0.0,1 unidade
McDonald’s - Caramel Cappuccino (Medium),240.0,0.0,0.0,0.0,1 unidade
McDonald’s - Caramel Cappuccino (Large),290.0,0.0,0.0,0.0,1 unidade
McDonald’s - Caramel Latte (Small),230.0,0.0,0.0,0.0,1 unidade
McDonald’s - Caramel Latte (Medium),280.0,0.0,0.0,0.0,1 unidade
McDonald’s - Caramel Latte (Large),330.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hazelnut Cappuccino (Small),200.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hazelnut Cappuccino (Medium),240.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hazelnut Cappuccino (Large),290.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hazelnut Latte (Small),230.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hazelnut Latte (Medium),280.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hazelnut Latte (Large),330.0,0.0,0.0,0.0,1 unidade
McDonald’s - Vanilla Cappuccino (Small),200.0,0.0,0.0,0.0,1 unidade
McDonald’s - Vanilla Cappuccino (Medium),240.0,0.0,0.0,0.0,1 unidade
McDonald’s - Vanilla Cappuccino (Large),290.0,0.0,0.0,0.0,1 unidade
McDonald’s - Vanilla Latte (Small),230.0,0.0,0.0,0.0,1 unidade
McDonald’s - Vanilla Latte (Medium),280.0,0.0,0.0,0.0,1 unidade
McDonald’s - Vanilla Latte (Large),330.0,0.0,0.0,0.0,1 unidade
McDonald’s - Cappuccino with Sugar Free Vanilla Syrup (Small),100.0,0.0,0.0,0.0,1 unidade
McDonald’s - Cappuccino with Sugar Free Vanilla Syrup (Medium),120.0,0.0,0.0,0.0,1 unidade
McDonald’s - Cappuccino with Sugar Free Vanilla Syrup (Large),150.0,0.0,0.0,0.0,1 unidade
McDonald’s - Latte with Sugar Free Vanilla Syrup (Small),130.0,0.0,0.0,0.0,1 unidade
McDonald’s - Latte with Sugar Free Vanilla Syrup (Medium),160.0,0.0,0.0,0.0,1 unidade
McDonald’s - Latte with Sugar Free Vanilla Syrup (Large),180.0,0.0,0.0,0.0,1 unidade
McDonald’s - Mocha (Small),280.0,0.0,0.0,0.0,1 unidade
McDonald’s - Mocha (Medium),330.0,0.0,0.0,0.0,1 unidade
McDonald’s - Mocha (Large),400.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hot Chocolate (Small),300.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hot Chocolate (Medium),380.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hot Chocolate (Large),460.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Latte (Small),80.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Latte (Medium),100.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Latte (Large),140.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Caramel Latte (Small),160.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Caramel Latte (Medium),180.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Caramel Latte (Large),230.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Hazelnut Latte (Small),160.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Hazelnut Latte (Medium),180.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Hazelnut Latte (Large),230.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Vanilla Latte (Small),160.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Vanilla Latte (Medium),190.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Vanilla Latte (Large),230.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Latte with Sugar Free Vanilla Syrup (Small),60.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Latte with Sugar Free Vanilla Syrup (Medium),90.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Latte with Sugar Free Vanilla Syrup (Large),110.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Mocha (Medium),310.0,0.0,0.0,0.0,1 unidade
McDonald’s - Caramel Mocha (Large),360.0,0.0,0.0,0.0,1 unidade
McDonald’s - Caramel Mocha (Medium),290.0,0.0,0.0,0.0,1 unidade
McDonald’s - Caramel Mocha (Small),250.0,0.0,0.0,0.0,1 unidade
